niveau,pid,magasin,zip,city,tier,last_visit,jours_sans_contact,retard_j,avg_mois,isole,au_planning,issue
CRITIQUE,3182,Pharmacie TILMAN HAN SRL,5580,HAN-SUR-LESSE,X,2026-02-26,197,107,17.99,non,oui,planifié cette semaine — OK
CRITIQUE,5916,Affilié 044470 - AD Jambes (Materne),,Jambes,C,2026-03-02,193,151,58.28,non,oui,planifié cette semaine — OK
CRITIQUE,5580,GIMALEX SA - Delhaize Fragnée,4000,Liège,B,2026-05-29,105,77,273.41,non,oui,planifié cette semaine — OK
CRITIQUE,5439,Affilié 045015 - Delhaize Longdoz Médiacité,,Liège,B,2026-06-18,85,57,55.36,non,oui,planifié cette semaine — OK
CRITIQUE,5591,Affilié 043131 - AD Fernelmont,,Fernelmont,B,2026-06-30,73,45,237.79,non,oui,planifié cette semaine — OK
CRITIQUE,3184,Ma Pharmacie de Baillonville - Bayet Sarah,5377,BAILLONVILLE,B,2026-07-01,72,44,301.29,non,oui,planifié cette semaine — OK
CRITIQUE,115879,SA VILLERSEM - Intermarché Villers Le Bouillet,4530,VILLERS-LE-BOUILLET,B,2026-07-03,70,42,327.97,non,oui,planifié cette semaine — OK
CRITIQUE,5653,Affilié 048755 - Delhaize St Lambert,,Liège,B,2026-07-08,65,37,213.28,non,oui,planifié cette semaine — OK
CRITIQUE,3210,SA Faimine - Intermarché Faimes,4317,Faimes,B,2026-07-09,64,36,201.23,oui,oui,planifié cette semaine — OK
CRITIQUE,125096,Hypermarché Carrefour Herstal - 5400102606615,4040,Herstal,B,2026-07-14,59,31,183.92,non,oui,planifié cette semaine — OK
CRITIQUE,113613,Hyper Carrefour Mons Grands Prés - 5400102606004,7000,Mons,B,2026-07-24,49,21,130.87,oui,oui,planifié cette semaine — OK
ALERTE,113746,Hyper Carrefour Arlon - 5400102606943,6700,Arlon,B,2026-08-04,38,10,344.31,oui,non,à surveiller
ALERTE,7283,Affilié 041335 - Ad Bouffioulx,6200,Chatelet,B,2026-08-04,38,10,253.34,oui,oui,à surveiller
ALERTE,2971,Gerpidis SA - Intermarché Gerpinnes,6280,Gerpinnes,B,2026-08-04,38,10,173.44,oui,non,à surveiller
ALERTE,123189,Carrefour Market - BASTOGNE PORTE DE TREVES - 5400102105231,6600,Bastogne,C,2026-08-04,38,0,82.19,non,non,à surveiller
ALERTE,8169,Delhaize Bois-de-breux,4030,Liège,B,2026-08-05,37,9,319.48,non,oui,à surveiller
ALERTE,113627,Carrefour market Grace Hollogne - 5400102117609,4460,Grâce-Hollogne,B,2026-08-05,37,9,235.4,oui,oui,à surveiller
ALERTE,121196,Carrefour market Angleur (Belle-Ile) - 5400102102544,4020,Liège,C,2026-08-05,37,0,92.38,non,oui,à surveiller
ALERTE,2909,DelEmbourg SRL - Delhaize Embourg,4053,Embourg,A,2026-08-06,36,15,656.65,non,oui,à surveiller
ALERTE,119815,BARCHONEW SRL - Delhaize Barchon,4671,Barchon,B,2026-08-06,36,8,299.08,oui,oui,à surveiller
ALERTE,59514,Affilié 049480 - Delhaize Welkenraedt,4840,Welkenraedt,B,2026-08-06,36,8,214.23,non,oui,à surveiller
ALERTE,113675,Carrefour market LONTZEN,4710,Lontzen,B,2026-08-06,36,8,194.46,oui,oui,à surveiller
ALERTE,7649,"Delhaize Le Lion S.A, Affilié 048900 - Ad Spa",4900,spa,B,2026-08-06,36,8,150.46,oui,oui,à surveiller
ALERTE,60001,Carrefour Hyper Boncelles - 5400102606127,4100,Boncelles,B,2026-08-07,35,7,267.78,non,oui,à surveiller
ALERTE,113216,Dynamic Food SRL - Spar Louvain-La-Neuve,1348,Louvain-la-Neuve,B,2026-08-07,35,7,183.36,non,oui,à surveiller
ALERTE,3153,NIVALIM - Intermarché Nivelles,1400,Nivelles,B,2026-08-10,32,4,309.72,non,oui,à surveiller
ALERTE,2914,Affilié 044725 - Delhaize Kraainem,1950,Kraainem,B,2026-08-10,32,4,285.45,oui,non,à surveiller
ALERTE,113217,Affilié 045190 - Proxy Delhaize Maransart,1380,Lasne,B,2026-08-10,32,4,229.73,non,non,à surveiller
ALERTE,10134,LSL RETAIL SPRL - Intermarché Chaumont-Gistoux,1325,Chaumont-Gistoux,B,2026-08-10,32,4,222.13,non,oui,à surveiller
ALERTE,3223,SRL AD LLN - Delhaize de Louvain La Neuve,1348,Louvain La Neuve,B,2026-08-10,32,4,208.59,non,oui,à surveiller
ALERTE,115220,SA Nalim - Intermarché Wavre,1300,Wavre,B,2026-08-10,32,4,179.82,non,oui,à surveiller
ALERTE,5825,CARREFOUR MARKET SHOPPING WOLUWE 1875  - Wdistri.SA,,Woluwe-saint-Lambert,B,2026-08-10,32,4,152.25,non,non,à surveiller
ALERTE,5426,DELHAIZE BOONDAEL,1050,IXELLES,B,2026-08-10,32,4,116.67,oui,non,à surveiller
ALERTE,2979,HODICA SA - Carrefour Market Hotton,6990,HOTTON,B,2026-08-11,31,3,209.62,non,non,à surveiller
ALERTE,2811,BARVO S.A. - Carrefour Market Barvaux,6940,Barvaux/Ourthe,B,2026-08-11,31,3,204.05,non,non,à surveiller
ALERTE,119817,Affilié 040990 - Delhaize Barvaux,6940,Barvaux-sur-Ourthe,B,2026-08-11,31,3,166.87,non,non,à surveiller
ALERTE,122255,SA LD Management - Intermarché Hamoir,4180,Hamoir,B,2026-08-11,31,3,157.18,non,oui,à surveiller
ALERTE,7760,Hyper Carrefour Fleron - 5400102606202,4620,Fleron,C,2026-08-12,30,0,60.04,oui,non,à surveiller
