niveau,pid,magasin,zip,city,tier,last_visit,jours_sans_contact,retard_j,avg_mois,isole,au_planning,issue
CRITIQUE,3182,Pharmacie TILMAN HAN SRL,5580,HAN-SUR-LESSE,X,2026-02-26,202,112,17.99,non,oui,planifié cette semaine — OK
CRITIQUE,3184,Ma Pharmacie de Baillonville - Bayet Sarah,5377,BAILLONVILLE,B,2026-07-01,77,49,266.73,non,oui,planifié cette semaine — OK
CRITIQUE,113613,Hyper Carrefour Mons Grands Prés - 5400102606004,7000,Mons,B,2026-07-24,54,26,130.87,oui,oui,planifié cette semaine — OK
ALERTE,113746,Hyper Carrefour Arlon - 5400102606943,6700,Arlon,B,2026-08-04,43,15,344.31,oui,oui,à surveiller
ALERTE,2971,Gerpidis SA - Intermarché Gerpinnes,6280,Gerpinnes,B,2026-08-04,43,15,173.44,oui,non,à surveiller
ALERTE,123189,Carrefour Market - BASTOGNE PORTE DE TREVES - 5400102105231,6600,Bastogne,C,2026-08-04,43,1,82.19,non,oui,à surveiller
ALERTE,113627,Carrefour market Grace Hollogne - 5400102117609,4460,Grâce-Hollogne,B,2026-08-05,42,14,235.4,oui,oui,à surveiller
ALERTE,59514,Affilié 049480 - Delhaize Welkenraedt,4840,Welkenraedt,B,2026-08-06,41,13,214.23,non,oui,à surveiller
ALERTE,113675,Carrefour market LONTZEN,4710,Lontzen,B,2026-08-06,41,13,194.46,oui,oui,à surveiller
ALERTE,7649,"Delhaize Le Lion S.A, Affilié 048900 - Ad Spa",4900,spa,B,2026-08-06,41,13,150.46,oui,oui,à surveiller
ALERTE,60001,Carrefour Hyper Boncelles - 5400102606127,4100,Boncelles,B,2026-08-07,40,12,267.78,non,oui,à surveiller
ALERTE,2914,Affilié 044725 - Delhaize Kraainem,1950,Kraainem,B,2026-08-10,37,9,285.45,oui,oui,à surveiller
ALERTE,113217,Affilié 045190 - Proxy Delhaize Maransart,1380,Lasne,B,2026-08-10,37,9,229.73,non,oui,à surveiller
ALERTE,5825,CARREFOUR MARKET SHOPPING WOLUWE 1875  - Wdistri.SA,,Woluwe-saint-Lambert,B,2026-08-10,37,9,152.25,non,oui,à surveiller
ALERTE,5426,DELHAIZE BOONDAEL,1050,IXELLES,B,2026-08-10,37,9,116.67,oui,oui,à surveiller
ALERTE,2979,HODICA SA - Carrefour Market Hotton,6990,HOTTON,B,2026-08-11,36,8,209.62,non,oui,à surveiller
ALERTE,2811,BARVO S.A. - Carrefour Market Barvaux,6940,Barvaux/Ourthe,B,2026-08-11,36,8,204.05,non,oui,à surveiller
ALERTE,119817,Affilié 040990 - Delhaize Barvaux,6940,Barvaux-sur-Ourthe,B,2026-08-11,36,8,166.87,non,oui,à surveiller
ALERTE,122255,SA LD Management - Intermarché Hamoir,4180,Hamoir,B,2026-08-11,36,8,157.18,non,oui,à surveiller
ALERTE,7760,Hyper Carrefour Fleron - 5400102606202,4620,Fleron,C,2026-08-12,35,5,60.04,oui,oui,à surveiller
ALERTE,5441,Affilié 043366 - AD Fosses-la-Ville,,Fosses-la-Ville,A,2026-08-14,33,12,656.43,non,oui,à surveiller
ALERTE,8558,SA Marer - AD Delhaize Bastogne,6660,Bastogne,B,2026-08-14,33,5,315.79,non,oui,à surveiller
ALERTE,116686,SRL Spydis - Intermarché Spy,5190,Jemeppe-sur-Sambre,B,2026-08-14,33,5,299.49,non,oui,à surveiller
ALERTE,2958,Floridis SA- Intermarché Floriffoux,5150,Floriffoux,B,2026-08-14,33,5,265.02,non,oui,à surveiller
ALERTE,2773,2u S.A. - Carrefour Market Ciney,Ciney,5590,B,2026-08-14,33,5,194.61,oui,oui,à surveiller
ALERTE,125094,Spar Vaux-sur-Sûre,6640,Vaux-sur-Sure,B,2026-08-14,33,5,109.8,non,oui,à surveiller
ALERTE,126113,Affilié 42900 - Delhaize Esneux,4130,Esneux,B,2026-08-14,33,5,27.57,non,oui,à surveiller
ALERTE,115578,Affilié 040299 - Delhaize Andenne,5300,Andenne,C,2026-08-14,33,0,92.96,non,non,à surveiller
ALERTE,123297,Spar Gembloux,5030,Gembloux,B,2026-08-17,30,0,111.77,non,oui,à surveiller
ALERTE,123842,Spar Barvaux,6940,Durbuy,C,2026-08-17,30,0,72.83,non,non,à surveiller
