pid,store_name,display_name,parent_name,billing_partner,street,zip,city,phone,email,statut,sale_warn,tier,cycle_days,so_count_12m,total_untaxed_12m,avg_mois,first_so_date,last_so_date,last_so_days_ago,last_so_label,last_visit,last_visit_source,next_visit,retard_j,controle_stock,methode_reassort,regle_magasin
113746,Hyper Carrefour Arlon - 5400102606943,Hyper Carrefour Arlon - 5400102606943,Carrefour Belgium,Hyper Carrefour Arlon - 5400102606943,Rue de Clairefontaine 1,6700,Arlon,+32 63 23 06 11,Christopher_kabongo@carrefour.com,Actif,no-message,B,28,7,4131.72,344.31,2025-10-17,2026-08-03,52,03/08/2026 (52j),2026-08-04,picking,2026-09-01,23,,,
2971,Gerpidis SA - Intermarché Gerpinnes,Gerpidis SA - Intermarché Gerpinnes,,Gerpidis SA - Intermarché Gerpinnes,Route De Philippeville 196,6280,Gerpinnes,071216909,pdv09863@mousquetaires.com,Actif,no-message,B,28,5,2081.33,173.44,2025-10-16,2026-06-05,111,05/06/2026 (111j),2026-08-04,comment_tag,2026-09-01,23,,,
59514,Affilié 049480 - Delhaize Welkenraedt,Affilié 049480 - Delhaize Welkenraedt,Delhaize Le Lion S.A,Affilié 049480 - Delhaize Welkenraedt,"Rue Gérard Delvoye, 3 A",4840,Welkenraedt,+32 87 88 04 29,magasin@adwelkenraedt.be,Actif,no-message,B,28,7,2570.74,214.23,2025-10-21,2026-08-06,49,06/08/2026 (49j),2026-08-06,picking,2026-09-03,21,,,
113675,Carrefour market LONTZEN,Carrefour market LONTZEN,Carrefour Belgium,Carrefour market LONTZEN,"Rue Mitoyenne B, 910",4710,Lontzen,+32 87 67 42 27,carrefour.lontzen@gmail.com,Actif,no-message,B,28,5,2333.55,194.46,2025-10-14,2026-08-06,49,06/08/2026 (49j),2026-08-06,picking,2026-09-03,21,,,
7649,"Delhaize Le Lion S.A, Affilié 048900 - Ad Spa","Delhaize Le Lion S.A, Affilié 048900 - Ad Spa",,"Delhaize Le Lion S.A, Affilié 048900 - Ad Spa","AVENUE REINE ASTRID, 244",4900,spa,+32 87 79 52 10,info@addelhaizespa.be,Actif,no-message,B,28,7,1805.57,150.46,2025-10-08,2026-08-06,49,06/08/2026 (49j),2026-08-06,picking,2026-09-03,21,contrôle marchandise OUI — pas de réserve / stock arrière — pas d'appareil (PDA/scan) pour rentrer la marchandise — contact: Thibault / Arnaud,,
60001,Carrefour Hyper Boncelles - 5400102606127,Carrefour Hyper Boncelles - 5400102606127,Carrefour Belgium,Carrefour Hyper Boncelles - 5400102606127,Rue du Condroz 16,4100,Boncelles,,,Actif,no-message,B,28,7,2547.62,212.3,2025-12-11,2026-08-05,50,05/08/2026 (50j),2026-08-07,picking,2026-09-04,20,,,
2914,Affilié 044725 - Delhaize Kraainem,Affilié 044725 - Delhaize Kraainem,Delhaize Le Lion S.A,Affilié 044725 - Delhaize Kraainem,"Wezembeeklaan, 112",1950,Kraainem,027 84 36 48,supplier@delhaize-kraainem.be,Actif,no-message,B,28,6,3425.43,285.45,2025-10-13,2026-08-10,45,10/08/2026 (45j),2026-08-10,picking,2026-09-07,17,,,
113217,Affilié 045190 - Proxy Delhaize Maransart,Affilié 045190 - Proxy Delhaize Maransart,Delhaize Le Lion S.A,Affilié 045190 - Proxy Delhaize Maransart,"Route de l'Etat, 217",1380,Lasne,+32 2 633 13 25,Christelle.proxylasne@gmail.com,Actif,no-message,B,28,8,2756.74,229.73,2025-10-03,2026-08-10,45,10/08/2026 (45j),2026-08-10,picking,2026-09-07,17,,,
5825,,CARREFOUR MARKET SHOPPING WOLUWE 1875  - Wdistri.SA,CARREFOUR MARKET SHOPPING WOLUWE 1875  - Wdistri.SA,CARREFOUR MARKET SHOPPING WOLUWE 1875  - Wdistri.SA,Rue Saint-Lambert 202,,Woluwe-saint-Lambert,022 61 13 60,wdistri1875@gmail.com,Actif,no-message,B,28,6,1826.97,152.25,2025-10-29,2026-08-10,45,10/08/2026 (45j),2026-08-10,picking,2026-09-07,17,pas de réserve — tout en rayon,manuel — pas d'appareil de commande sur place,contrôle marchandise obligatoire à la réception (voir Jordan)
5426,DELHAIZE BOONDAEL,DELHAIZE BOONDAEL,AL RETAIL - Delhaize BOONDAEL,AL RETAIL - Delhaize BOONDAEL,120 AVENUE DU BOIS DE LA CAMBRE,1050,IXELLES,02 672 89 48,014024@delhaize.be,Actif,no-message,B,28,4,1400.02,116.67,2025-10-06,2026-06-17,99,17/06/2026 (99j),2026-08-10,comment_tag,2026-09-07,17,,,
