niveau,pid,magasin,zip,city,tier,last_visit,jours_sans_contact,retard_j,avg_mois,isole,au_planning,issue
CRITIQUE,113746,Hyper Carrefour Arlon - 5400102606943,6700,Arlon,B,2026-08-04,51,23,344.31,oui,oui,planifié cette semaine — OK
CRITIQUE,2971,Gerpidis SA - Intermarché Gerpinnes,6280,Gerpinnes,B,2026-08-04,51,23,173.44,oui,non,BASCULE TELEVENTE
CRITIQUE,123189,Carrefour Market - BASTOGNE PORTE DE TREVES - 5400102105231,6600,Bastogne,C,2026-08-04,51,9,82.19,non,oui,planifié cette semaine — OK
CRITIQUE,59514,Affilié 049480 - Delhaize Welkenraedt,4840,Welkenraedt,B,2026-08-06,49,21,214.23,non,oui,planifié cette semaine — OK
CRITIQUE,113675,Carrefour market LONTZEN,4710,Lontzen,B,2026-08-06,49,21,194.46,oui,oui,planifié cette semaine — OK
CRITIQUE,7649,"Delhaize Le Lion S.A, Affilié 048900 - Ad Spa",4900,spa,B,2026-08-06,49,21,150.46,oui,oui,planifié cette semaine — OK
CRITIQUE,60001,Carrefour Hyper Boncelles - 5400102606127,4100,Boncelles,B,2026-08-07,48,20,212.3,non,oui,planifié cette semaine — OK
CRITIQUE,2914,Affilié 044725 - Delhaize Kraainem,1950,Kraainem,B,2026-08-10,45,17,285.45,oui,oui,planifié cette semaine — OK
CRITIQUE,113217,Affilié 045190 - Proxy Delhaize Maransart,1380,Lasne,B,2026-08-10,45,17,229.73,non,oui,planifié cette semaine — OK
CRITIQUE,5825,CARREFOUR MARKET SHOPPING WOLUWE 1875  - Wdistri.SA,,Woluwe-saint-Lambert,B,2026-08-10,45,17,152.25,non,oui,planifié cette semaine — OK
CRITIQUE,5426,DELHAIZE BOONDAEL,1050,IXELLES,B,2026-08-10,45,17,116.67,oui,oui,planifié cette semaine — OK
ALERTE,122255,SA LD Management - Intermarché Hamoir,4180,Hamoir,B,2026-08-11,44,16,157.18,non,oui,à surveiller
ALERTE,8558,SA Marer - AD Delhaize Bastogne,6660,Bastogne,B,2026-08-14,41,13,315.79,non,oui,à surveiller
ALERTE,116686,SRL Spydis - Intermarché Spy,5190,Jemeppe-sur-Sambre,B,2026-08-14,41,13,299.49,non,oui,à surveiller
ALERTE,2958,Floridis SA- Intermarché Floriffoux,5150,Floriffoux,B,2026-08-14,41,13,265.02,non,oui,à surveiller
ALERTE,125094,Spar Vaux-sur-Sûre,6640,Vaux-sur-Sure,B,2026-08-14,41,13,109.8,non,oui,à surveiller
ALERTE,115578,Affilié 040299 - Delhaize Andenne,5300,Andenne,C,2026-08-14,41,0,92.96,oui,oui,à surveiller
ALERTE,123842,Spar Barvaux,6940,Durbuy,C,2026-08-17,38,0,72.83,non,oui,à surveiller
ALERTE,7003,Wonka S.A. - Intermarché Heusy,4802,Heusy,B,2026-08-19,36,8,240.88,non,oui,à surveiller
ALERTE,120499,Affilié 044305 - Delhaize Heusy,4802,Heusy,B,2026-08-19,36,8,230.26,non,oui,à surveiller
ALERTE,8779,Affilié 044780 - Proxy Delhaize Le Beau Rivage,5500,Dinant,C,2026-08-19,36,6,67.31,non,oui,à surveiller
ALERTE,3297,Windmill SA - Intermarché Bouge,5000,Bouge,B,2026-08-24,31,3,257.92,non,oui,à surveiller
ALERTE,2821,Belgradis - Intermarché Belgrade,5001,BELGRADE,B,2026-08-24,31,3,181.17,non,oui,à surveiller
ALERTE,123069,Carrefour Market Bievre - 5400102108300,5555,Bièvre,B,2026-08-24,31,3,119.65,non,oui,à surveiller
