pid,store_name,display_name,parent_name,billing_partner,street,zip,city,phone,email,statut,sale_warn,tier,cycle_days,so_count_12m,total_untaxed_12m,avg_mois,first_so_date,last_so_date,last_so_days_ago,last_so_label,last_visit,last_visit_source,next_visit,retard_j,controle_stock,methode_reassort,regle_magasin
8779,Affilié 044780 - Proxy Delhaize Le Beau Rivage,Affilié 044780 - Proxy Delhaize Le Beau Rivage,Delhaize Le Lion S.A,Delhaize Le Lion S.A,Quai de Meuse 1/1,5500,Dinant,+32 82 22 37 62,xavier-despeghel@hotmail.com,Actif,no-message,C,30,3,807.74,67.31,2025-10-16,2026-02-17,174,17/02/2026 (174j),2026-02-17,last_so,2026-03-19,144,,,passage tous les 30j min — pas de passage avant 30j (Nicolas 24/06/2026)
5916,Affilié 044470 - AD Jambes (Materne),Affilié 044470 - AD Jambes (Materne),Delhaize Le Lion S.A,Delhaize Le Lion S.A,Avenue Jean Materne 109,,Jambes,081 30 16 88,,Actif,no-message,C,42,2,699.38,58.28,2026-01-16,2026-03-02,161,02/03/2026 (161j),2026-03-02,last_so,2026-04-13,119,,,
3120,Mardis - Carrefour Market Marche,Mardis - Carrefour Market Marche,,Mardis - Carrefour Market Marche,Avenue du Monument 1,6900,Marche-en-Famenne,084 31 30 76,carrefour.market.marche@gmail.com,Actif,no-message,C,42,2,711.89,59.32,2025-10-17,2026-04-01,131,01/04/2026 (131j),2026-04-01,last_so,2026-05-13,89,,,
2958,Floridis SA- Intermarché Floriffoux,Floridis SA- Intermarché Floriffoux,,Floridis SA- Intermarché Floriffoux,Rue Emerée 4,5150,Floriffoux,081 44 05 39,PDV09900@mousquetaires.com,Actif,no-message,B,28,7,3011.48,250.96,2025-09-02,2026-04-20,112,20/04/2026 (112j),2026-04-20,last_so,2026-05-18,84,,,
7760,Hyper Carrefour Fleron - 5400102606202,Hyper Carrefour Fleron - 5400102606202,Carrefour Belgium,Hyper Carrefour Fleron - 5400102606202,Rue de la Clef 30,4620,Fleron,+32 4 355 86 11,sebastien_mancuso_1@carrefour.com,Actif,no-message,C,30,1,720.46,60.04,2026-04-22,2026-04-22,110,22/04/2026 (110j),2026-04-27,picking,2026-05-27,75,,,passage tous les 30j min — pas de passage avant 30j (Nicolas 24/06/2026)
113217,Affilié 045190 - Proxy Delhaize Maransart,Affilié 045190 - Proxy Delhaize Maransart,Delhaize Le Lion S.A,Affilié 045190 - Proxy Delhaize Maransart,"Route de l'Etat, 217",1380,Lasne,+32 2 633 13 25,Christelle.proxylasne@gmail.com,Actif,no-message,B,28,7,2719.1,226.59,2025-10-03,2026-05-22,80,22/05/2026 (80j),2026-05-22,last_so,2026-06-19,52,,,
59558,Rosy Dis sprl - Carrefour Market La Chasse,Rosy Dis sprl - Carrefour Market La Chasse,,Rosy Dis sprl - Carrefour Market La Chasse,"Rue des champs, 39",1040,Bruxelles,+32 2 647 44 73,carrefourmarketlachasse@gmail.com,Actif,no-message,B,28,3,1386.72,115.56,2025-09-10,2026-05-22,80,22/05/2026 (80j),2026-05-22,last_so,2026-06-19,52,,,
5830,,Proxy Delhaize Bosvoorde - SPRL BROOMCORNER,Proxy Delhaize Bosvoorde - SPRL BROOMCORNER,Proxy Delhaize Bosvoorde - SPRL BROOMCORNER,Chaussée de la Hulpe 255,1170,Watermael-Boitsfort,02 672 33 99,Youbech.mesli@gmail.com,Actif,no-message,C,42,3,933.82,77.82,2026-02-11,2026-05-12,90,12/05/2026 (90j),2026-05-12,last_so,2026-06-23,48,,,
6838,,KAIO Retail invest - Delhaize Ottignies,KAIO Retail invest - Delhaize Ottignies,KAIO Retail invest - Delhaize Ottignies,"Centre commercial du Douaire, 1",1340,Ottignie,,jolan.cailleau@gmail.com,Actif,no-message,B,28,9,4776.51,398.04,2025-09-05,2026-05-28,74,28/05/2026 (74j),2026-05-28,last_so,2026-06-25,46,,,
5580,,GIMALEX SA - Delhaize Fragnée,GIMALEX SA - Delhaize Fragnée,GIMALEX SA - Delhaize Fragnée,"Rue de Fragnée, 41",4000,Liège,,g.harvie@gimalex.be,Actif,no-message,B,28,10,3862.04,321.84,2025-09-03,2026-05-29,73,29/05/2026 (73j),2026-05-29,last_so,2026-06-26,45,,,
